,fullName,position,origin,destination
1082,Nolan Hay,OT,Incarnate Word,South Carolina
1088,Brennan Smith,IOL,UTEP,Mississippi State
1090,Sedrick Smith,DL,Alabama A&M,Maryland
1095,Connor Cox,TE,South Carolina,North Carolina
1100,Zach Rice,IOL,North Carolina,Syracuse
1104,Brandon High Jr.,RB,UTSA,California
1112,Justin Beadles,EDGE,New Mexico State,Louisville
1113,John Slaughter,S,Tennessee,Colorado
1129,Antonio Martin Jr.,RB,UL Monroe,Kansas State
1133,Michael Teason,LB,Missouri State,TCU
1141,Makari Vickers,CB,Oklahoma,Colorado
1143,Wayshawn Parker,RB,Washington State,Utah
1157,Julian Neal,CB,Stanford,Arkansas
1158,Jordan Church,IOL,Florida Atlantic,Louisville
1161,Durham Harris,LS,Washington State,Vanderbilt
1164,Ta'Mere Robinson,LB,Penn State,USC
1165,Darrian Lewis,S,Akron,West Virginia
1170,Keany Parks,CB,Wyoming,Houston
1171,Tiger Bachmeier,WR,Stanford,BYU
1173,David Wohlabaugh Jr.,OT,Syracuse,Virginia
1175,Justin Holmes,TE,Marshall,Pittsburgh
1176,Jack Sammarco,TE,West Virginia,Alabama
1179,Quimari Shemwell,CB,Utah,California
1180,Will Huggins,TE,Pittsburg St,Oklahoma
1182,Chris Domercant,WR,Chattanooga,UCF
1185,Anthony Venneri,P,Ohio State,UCF
1186,Jaylon Stone,DL,Southeast Missouri State,Vanderbilt
1197,Blake Steen,IOL,Virginia,Mississippi State
1201,Hudson Wilharm,ATH,North Carolina,NC State
1204,Devynn Cromwell,S,Texas Tech,Michigan State
1205,Daveion Harley,IOL,Jacksonville State,California
1210,Cam Rice,DL,Ohio,Maryland
1211,Jon Mitchell,CB,Penn State,Georgia Tech
1212,Christian Charles,S,Tennessee,Virginia
1214,Kenan Johnson,CB,Utah,Virginia
1217,Anthony Jones,EDGE,Michigan State,UCLA
1220,Carlos Moore,OT,Elon,Maryland
1225,Tyrecus Davis,CB,Wyoming,Colorado
1229,Carter Hewitt,DL,Northern Iowa,Illinois
1234,Placide Djungu-Sungu,S,Duke,Baylor
1241,Josh Schell,DL,Grand Valley State University,Tennessee
1244,Miles Mitchell,EDGE,Monmouth,Purdue
1246,Steve Angeli,QB,Notre Dame,Syracuse
1250,Bert Auburn,K,Texas,Miami
1256,Deuce Spann,WR,Florida State,Pittsburgh
1258,Jordan Hall,OT,UAB,North Carolina
1262,Martes Lewis,IOL,Minnesota,Northwestern
1268,Hayes Galloway,IOL,North Carolina,Clemson
1269,Joe Cotton,OT,South Dakota,Cincinnati
1275,Kamal Bonner,LB,NC State,Miami
1282,Carson Lee,IOL,Mississippi State,West Virginia
1285,Braylon Johnson,S,Virginia Tech,Wake Forest
1292,De'Marion Thomas,DL,Vanderbilt,Oklahoma State
1297,Andrew Harris,LB,UCF,Arkansas
1298,Breylan Thompson,CB,Yale,Stanford
1299,Johann Cardenas,RB,Vanderbilt,Minnesota
1314,Chase Barry,P,UCLA,Oklahoma State
1319,Dylan Goffney,WR,Colorado State,SMU
1320,Eni Falayi,TE,Utah Tech,Wake Forest
1322,Jason Hewlett Jr.,LB,Michigan,Boston College
1325,Jayden McDonald,LB,Virginia Tech,UCF
1330,Caleb Anderson,CB,Louisiana,Michigan
1333,Landon Morris,TE,Temple,California
1335,Wrook Brown,S,Wyoming,Houston
1343,Woo Spencer,DL,Louisville,SMU
1349,Caleb Johnston,LS,California,Rutgers
1350,Evan Haynes,WR,North Carolina,Georgia Tech
1357,Oliver Billotte,DL,Kent State,Rutgers
