target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Konata Mumpfield,89,37.811,0.4248,48,0.5393,31,0.3483,2.4668,-0.6665,54,831
Elijah Sarratt,89,60.472,0.6795,55,0.618,42,0.4719,2.2414,-0.7163,54,960
Raphael Williams Jr.,87,-34.309,-0.3944,34,0.3908,23,0.2644,2.0208,-1.2623,37,426
Colston Loveland,87,-0.885,-0.0102,49,0.5632,30,0.3448,1.918,-1.025,58,605
Coy Eakin,87,13.457,0.1547,38,0.4368,25,0.2874,2.1549,-0.6519,50,677
Luther Burden III,87,26.261,0.3019,41,0.4713,25,0.2874,2.5479,-0.6038,66,771
KeAndre Lambert-Smith,86,32.477,0.3776,47,0.5465,36,0.4186,2.333,-1.0302,52,997
Luke Grimm,86,29.715,0.3455,45,0.5233,35,0.407,2.1894,-0.9199,52,704
Hudson Clement,85,50.385,0.5928,51,0.6,35,0.4118,2.3817,-0.6595,52,792
Malik Rutherford,85,34.068,0.4008,49,0.5765,29,0.3412,2.0724,-0.4649,63,705
Pat Bryant,84,68.046,0.8101,52,0.619,40,0.4762,2.4553,-0.6855,54,984
Mason Taylor,84,23.573,0.2806,46,0.5476,26,0.3095,2.1922,-0.5763,59,600
Jacolby George,84,48.831,0.5813,50,0.5952,37,0.4405,2.0906,-0.6068,55,766
Montorie Foster Jr.,83,3.337,0.0402,40,0.4819,28,0.3373,1.9848,-0.9497,46,588
Ian Strong,83,43.725,0.5268,46,0.5542,39,0.4699,2.0576,-0.83,43,676
Jahmal Banks,83,25.05,0.3018,46,0.5542,33,0.3976,1.8832,-0.7419,46,628
Harrison Wallace III,82,40.096,0.489,46,0.561,36,0.439,2.3004,-0.9287,47,739
LeQuint Allen,82,20.13,0.2455,47,0.5732,26,0.3171,1.882,-0.5143,67,553
Dillon Bell,81,4.183,0.0516,36,0.4444,24,0.2963,2.2259,-0.8638,47,528
Germie Bernard,80,45.192,0.5649,48,0.6,37,0.4625,2.1869,-0.8308,53,816
JP Richardson,80,10.177,0.1272,50,0.625,25,0.3125,2.024,-0.7349,60,769
T.J. Moore,80,42.165,0.5271,49,0.6125,28,0.35,2.328,-0.4427,47,654
Horatio Fields,79,-9.155,-0.1159,37,0.4684,21,0.2658,1.9649,-0.8693,44,581
Arian Smith,79,34.347,0.4348,42,0.5316,31,0.3924,2.3441,-0.7983,49,841
Josh Cameron,79,65.363,0.8274,53,0.6709,38,0.481,2.1704,-0.4174,53,774
Tre Harris,79,52.989,0.6707,50,0.6329,27,0.3418,2.5597,-0.3101,62,1051
Sahmir Hagans,79,0.26,0.0033,34,0.4304,26,0.3291,2.0882,-1.0195,47,410
Joe Royer,78,3.915,0.0502,35,0.4487,22,0.2821,1.9401,-0.6923,51,602
Will Pauling,78,-6.422,-0.0823,35,0.4487,21,0.2692,1.8345,-0.7885,43,423
Chase Roberts,78,47.652,0.6109,49,0.6282,42,0.5385,2.0323,-1.0473,53,861
Jayce Brown,78,23.433,0.3004,40,0.5128,30,0.3846,2.4435,-1.039,48,856
Jacory Barney Jr.,78,-9.713,-0.1245,32,0.4103,16,0.2051,1.6465,-0.5816,55,465
Cayden Lee,78,64.22,0.8233,52,0.6667,44,0.5641,2.0805,-0.8036,61,902
